"Column_1","Column_2","Column_3"
-203.50248497176221,"2022-09-27 11:45:56","2022-09-27 11:45:56"
-203.5016892506699,"2022-09-27 11:46:41","2022-09-27 11:46:41"
-203.50114108725074,"2022-09-27 11:47:12","2022-09-27 11:47:12"
-203.49953196237516,"2022-09-27 11:48:43","2022-09-27 11:48:43"
-203.49926672201104,"2022-09-27 11:48:58","2022-09-27 11:48:58"
-203.49900148978355,"2022-09-27 11:49:13","2022-09-27 11:49:13"
-203.49873624941944,"2022-09-27 11:49:28","2022-09-27 11:49:28"
-203.49847101714963,"2022-09-27 11:49:43","2022-09-27 11:49:43"
-203.49794053642142,"2022-09-27 11:50:13","2022-09-27 11:50:13"
-203.49661433768313,"2022-09-27 11:51:28","2022-09-27 11:51:28"
-203.49634909793548,"2022-09-27 11:51:43","2022-09-27 11:51:43"
-203.49608385818783,"2022-09-27 11:51:58","2022-09-27 11:51:58"
-203.49581860972944,"2022-09-27 11:52:13","2022-09-27 11:52:13"
-203.49500761996097,"2022-09-27 11:52:59","2022-09-27 11:52:59"
-203.49472548373822,"2022-09-27 11:53:15","2022-09-27 11:53:15"
-203.49419623492363,"2022-09-27 11:53:45","2022-09-27 11:53:45"
-203.49366698610905,"2022-09-27 11:54:15","2022-09-27 11:54:15"
-203.49340237167615,"2022-09-27 11:54:30","2022-09-27 11:54:30"
-203.49234440073852,"2022-09-27 11:55:30","2022-09-27 11:55:30"
-203.4918154152697,"2022-09-27 11:56:00","2022-09-27 11:56:00"
-203.4915509225353,"2022-09-27 11:56:15","2022-09-27 11:56:15"
-203.4902108260143,"2022-09-27 11:57:31","2022-09-27 11:57:31"
-203.4899463070166,"2022-09-27 11:57:46","2022-09-27 11:57:46"
-203.48888823102573,"2022-09-27 11:58:46","2022-09-27 11:58:46"
-203.48809467403257,"2022-09-27 11:59:31","2022-09-27 11:59:31"
-203.4878301658676,"2022-09-27 11:59:46","2022-09-27 11:59:46"
-203.48730112787217,"2022-09-27 12:00:16","2022-09-27 12:00:16"
-203.48592562908405,"2022-09-27 12:01:34","2022-09-27 12:01:34"
-203.48372567582666,"2022-09-27 12:03:38","2022-09-27 12:03:38"
-203.4831756875123,"2022-09-27 12:04:09","2022-09-27 12:04:09"
-203.4829095641344,"2022-09-27 12:04:24","2022-09-27 12:04:24"
-203.4823773657086,"2022-09-27 12:04:54","2022-09-27 12:04:54"
-203.48182744724073,"2022-09-27 12:05:25","2022-09-27 12:05:25"
-203.4812952518538,"2022-09-27 12:05:55","2022-09-27 12:05:55"
-203.48102915416032,"2022-09-27 12:06:10","2022-09-27 12:06:10"
-203.4804969396706,"2022-09-27 12:06:40","2022-09-27 12:06:40"
-203.48023084053239,"2022-09-27 12:06:55","2022-09-27 12:06:55"
-203.47996473328752,"2022-09-27 12:07:10","2022-09-27 12:07:10"
-203.47969951002477,"2022-09-27 12:07:25","2022-09-27 12:07:25"
-203.4786209354229,"2022-09-27 12:08:26","2022-09-27 12:08:26"
-203.47701167146232,"2022-09-27 12:09:57","2022-09-27 12:09:57"
-203.47619819737236,"2022-09-27 12:10:43","2022-09-27 12:10:43"
-203.47540240750175,"2022-09-27 12:11:28","2022-09-27 12:11:28"
-203.47508412078022,"2022-09-27 12:11:46","2022-09-27 12:11:46"
-203.47481888013607,"2022-09-27 12:12:01","2022-09-27 12:12:01"
-203.47455360704302,"2022-09-27 12:12:16","2022-09-27 12:12:16"
